#OTU_ID,Phylum,Species
New.CleanUp.ReferenceOTU26160,Firmicutes,Bacillus subtilis
New.CleanUp.ReferenceOTU101439,Firmicutes,Bacillus tuaregi
New.CleanUp.ReferenceOTU89207,Firmicutes,Macrococcus canis
CSCC01000023.50.1885,Firmicutes,Staphylococcus aureus
FJ957757.1.1516,Firmicutes,Staphylococcus aureus
GBKB01000906.322.1853,Firmicutes,Staphylococcus aureus
JF121407.1.1372,Firmicutes,Staphylococcus aureus
JF188243.1.1374,Firmicutes,Staphylococcus aureus
KF098875.1.1376,Firmicutes,Staphylococcus aureus
LQCG01000007.381521.383064,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU100418,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101130,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101163,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101380,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101505,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101657,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU101940,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU102358,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU102389,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU1025,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU102816,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU103669,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU104200,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU104301,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU104445,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU104885,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU105111,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU10530,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU106599,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU106924,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU107166,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU107211,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU107259,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU107421,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU107487,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU11271,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU11331,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU11572,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU11726,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU11840,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU12762,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU13036,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU13061,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU13094,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU13627,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU14339,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU15519,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU15895,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU1600,Firmicutes,Staphylococcus aureus
