"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.90789770923165,1.00928728808531,2.33395533978368,0.432436418504417,0.665424253919167,NA
"FJ900888.1.1397",6.36277390787836,0.17691214836398,1.40710690157145,0.125727582009871,0.899947567823449,1
"GU361882.1.1515",3.51122072789395,0,1.78141495326834,0,1,1
"AY422712.1.1545",3.91206129313296,0,2.38586320648046,0,1,1
"DQ794506.1.1387",1.07385226413801,0.0277356415417032,2.98576708273988,0.00928928505576921,0.992588329466442,NA
"FJ557977.1.1384",453.90013243573,-1.11965980644984,1.06784107846317,-1.04852662913217,0.294396040059772,0.748055511627291
"HQ876461.1.1511",15.6199297615443,-1.73083018749737,1.00661248163263,-1.71946028792542,0.0855305927279285,0.315648616019736
"AUIB01000007.114179.115679",1.35549230273112,2.15647079709248,1.94043430404512,1.11133409288683,0.266424569699068,NA
"KC283048.1.1543",1.74847345438351,0,1.75133609691794,0,1,NA
"KF842558.1.1416",21.3930416387996,-0.311828065644977,1.38889479743321,-0.224515252142394,0.822356400325985,1
"GQ448359.1.1396",12.5300419120606,0.197186168762114,1.4337802205624,0.137528866652078,0.890612777235064,1
"FJ470572.1.1360",1.35814460495647,0,1.98152619767169,0,1,NA
"GARB01003133.115.1632",6.46261509980015,-0.712912514442567,1.55804763737052,-0.457567854373009,0.647262942605703,1
"DQ796089.1.1390",0.495118790084853,0,3.59495244006348,0,1,NA
"GABT01019963.848.2718",1.24360863278497,-0.965209660204278,2.22077725502975,-0.434626956854054,0.66383322494854,NA
"HQ323458.1.1504",4.25115074945604,0,1.91639655057086,0,1,1
"EF648100.1.1506",1.35570710682927,2.1241808790498,2.37082757183248,0.895965992755839,0.370270926283076,NA
"FR873975.1.1545",3.45404169804979,-0.585221921565901,2.10877541909946,-0.277517423745303,0.781382828814658,1
"KF928780.1.1519",0.0152864680970514,0,3.59495259592837,0,1,NA
"GU553044.1.1341",4.73917347978194,0,2.25918411616464,0,1,1
"FJ957564.1.1515",2972.64201581457,-0.0089936297135361,0.724057090544807,-0.0124211610258094,0.990089602228934,1
"JUYT01000096.171.1693",168.456944269402,1.20613502116735,1.57699147284576,0.764832937866692,0.444371031511357,1
"FJ557934.1.1411",1.55400708740317,0.0109567899402765,1.0561695789307,0.0103740821160268,0.991722828514433,NA
"JF697561.1.1506",1.38401977218588,0,2.62406060882199,0,1,NA
"GAON01156409.139.1558",1.38813301153097,0,2.00835293439173,0,1,NA
"HM066712.1.1464",8.89909994286541,-0.62080458869235,1.65228169072935,-0.375725635753014,0.707120877417867,1
"KF842545.1.1386",5.76071734470015,0,1.75016933747354,0,1,1
"FJ957846.1.1474",2.34264354292491,-0.814677499735397,0.971331204809799,-0.838722668129376,0.401624954850122,0.943210121238924
"HQ327111.1.1473",35.120019962658,-18.2259893690996,1.96421432988776,-9.27902270733411,1.71040138949973e-20,1.32556107686229e-18
"HQ728404.1.1491",3.92672395924897,0,2.3940143673302,0,1,1
"KC991107.1.1597",3.01764696794538,3.55642248488201,1.47271883199602,2.41486861416846,0.0157408865198595,0.0975934964231287
"GQ175334.1.1521",51.6414683492973,0.0835446953927557,1.01887088417805,0.0819973332147511,0.934648834102579,1
"JN866570.1.1464",1136.29160280522,-5.28511298437603,1.2620016102946,-4.18788133173798,2.81570667599893e-05,0.000436434534779835
"EU328097.1.1450",12.784102295805,2.02961615945264,1.10187474714746,1.84196630761066,0.0654800783504465,0.256947142894157
"HK556770.9.1472",0.300503280390701,0,3.5949524671908,0,1,NA
"KF906841.1.1487",23.7695923530749,-5.52409096411097,1.7118503874691,-3.22697065383039,0.00125108290645777,0.0121198656563096
"EF600592.1.1339",37.1006436219395,0.210967470387781,1.33907917330691,0.157546674306635,0.874814026368868,1
"FJ671786.1.1387",90.8921728076815,5.66537697721636,1.26319299120703,4.48496549351725,7.29257353495411e-06,0.000141293612239736
"AAAA02020712.626.2096",1.45600628836533,-0.539030758096557,2.0701674651068,-0.260380267385155,0.794570462490951,NA
"FLKC01000026.136.1601",0.725463737880414,0,3.21973985689906,0,1,NA
"KF906835.1.1540",24.5395592678035,10.4669331636999,2.58206117259322,4.05371231123379,5.04112058003021e-05,0.000744165418956841
"FM179752.1.1686",1.38041315577126,-2.276933222015,2.91952415688272,-0.779898743652172,0.435450478029976,NA
"AB249372.1.1472",0.368198187265255,0,3.41588955777091,0,1,NA
"AB546058.1.1480",0.786477112784069,-0.913429404396692,2.92141666457888,-0.312666596131833,0.754533976416717,NA
"JF766389.1.1513",1.08742434305866,-3.060915697227,2.08798313094584,-1.46596763731536,0.142657103671526,NA
"EF511052.1.1484",3.7686925931657,0,1.78678528375547,0,1,1
"KF841934.1.1385",1.9611530429872,-2.02325481021744,2.71662842738275,-0.74476685505595,0.456412675255137,NA
"KJ890498.1.1488",9.27495639179541,-1.04143662366159,1.67206346044578,-0.6228451540852,0.533386282430571,1
"JF766379.1.1511",34.3744519324055,-7.32370635944358,1.71147721144383,-4.27917258288538,1.87589368653623e-05,0.000323070579347907
"GU563744.1.1502",6.45285453680412,1.68357759319122,1.40673720212867,1.19679609712719,0.23138603987807,0.663083542416032
"GQ491124.1.1360",0.733337407440666,0,2.37938312889426,0,1,NA
"JN178097.1.1437",0.995586858965785,-0.0716709583155191,2.26402533930432,-0.0316564294008926,0.974746041757498,NA
"HM445996.1.1494",2.2825530864281,-0.802393810707862,2.59555763399049,-0.30914120349323,0.757214117346824,1
"D14153.1.1370",7.21582154627572,3.29264805559685,1.35369205956486,2.43234643531503,0.0150013512636623,0.0949065079945982
"HQ682006.1.1451",5.69200449991866,-0.433942454016562,1.97115061463361,-0.220146776606019,0.825756845825372,1
"GQ258634.1.1318",210.947942951597,-1.77516552346178,1.22346135179624,-1.45093714718128,0.14679736281101,0.479022973383294
"JN245722.1.1456",1.1809163833762,-0.671752953193245,2.93441651022911,-0.228922155682936,0.818929420033431,NA
"JN178390.1.1481",1.5599935566533,0,2.60770885816507,0,1,NA
"JF830179.1.1509",0.748046308268974,-0.805805265850653,2.93248606534562,-0.274785710108969,0.783480877329572,NA
"AYSG01000002.292.2076",18.9531311793387,-0.309005047687123,1.34583533488034,-0.229600932356704,0.818401882313258,1
"HM445342.1.1490",1.43726170469194,0,2.88897985449512,0,1,NA
