"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.7131795556364,-0.586616736950629,3.83724897831073,-0.152874296212302,0.878497406270705,NA
"FJ900888.1.1397",8.58848074136077,0,2.17603465632979,0,1,1
"GU361882.1.1515",3.51122072789395,0,2.6905368952964,0,1,NA
"AY422712.1.1545",3.91206129313296,0,3.71652673979564,0,1,NA
"DQ794506.1.1387",1.07385226413801,0,4.84203510089726,0,1,NA
"FJ557977.1.1384",453.90013243573,-1.08630877911225,1.5271770402039,-0.711318171053183,0.476887093827421,1
"HQ876461.1.1511",15.6199297615443,-2.09983216292486,1.42199626304249,-1.47667910071161,0.139761676945842,0.50405850701779
"AUIB01000007.114179.115679",1.35549230273112,2.32958832676626,2.9525210962999,0.789016657556046,0.430102270774618,NA
"KC283048.1.1543",1.74847345438351,0,2.66065059783572,0,1,NA
"KF842558.1.1416",21.3930416387996,0.266206463324849,2.01887804467062,0.131858615247995,0.895096122981868,1
"GQ448359.1.1396",26.2613420009953,-0.987299886648752,2.0408526195289,-0.483768341330133,0.628550285439709,1
"FJ470572.1.1360",1.35814460495647,0,3.06915789316521,0,1,NA
"GARB01003133.115.1632",6.46261509980015,0,2.3122536129065,0,1,1
"DQ796089.1.1390",0.495118790084853,0,5.0886541765071,0,1,NA
"GABT01019963.848.2718",1.24360863278497,0,3.47193267112363,0,1,NA
"HQ323458.1.1504",4.25115074945604,0,2.90902775544261,0,1,1
"EF648100.1.1506",1.35570710682927,3.19465618516682,3.50382938729485,0.91176134224768,0.3618943645104,NA
"FR873975.1.1545",3.45404169804979,0,3.03781442373125,0,1,NA
"KF928780.1.1519",0.0152864680970514,0,5.08865463329101,0,1,NA
"GU553044.1.1341",4.73917347978194,0,3.47662959816863,0,1,1
"FJ957564.1.1515",2972.64201581457,-0.127444285156449,1.03143663434258,-0.123559975390713,0.901663684577472,1
"JUYT01000096.171.1693",94.1281422964174,-7.86194510473616,2.1348585072473,-3.6826539454708,0.00023081839431827,0.00362714619642996
"FJ557934.1.1411",1.55400708740317,-0.253682725861983,1.53556446167729,-0.165204869084354,0.868782732951829,NA
"JF697561.1.1506",1.38401977218588,0,4.1914197104939,0,1,NA
"GAON01156409.139.1558",1.38813301153097,0,3.10760496493267,0,1,NA
"HM066712.1.1464",8.89909994286541,-1.55460644359232,2.42127594359033,-0.642060830657371,0.520833686936089,1
"KF842545.1.1386",5.76071734470015,0,2.63788899642626,0,1,1
"FJ957846.1.1474",2.34264354292491,-1.09532911951542,1.40918466914006,-0.777278623236677,0.43699440421456,NA
"HQ327111.1.1473",35.120019962658,-19.9737649818839,2.75290183983011,-7.25553112461015,4.00088759963885e-13,1.25742181702935e-11
"HQ728404.1.1491",3.92672395924897,0,3.72825292148852,0,1,NA
"KC991107.1.1597",3.01764696794538,4.12095393789222,2.15566676437783,1.91168412761683,0.0559167213968518,NA
"GQ175334.1.1521",51.6414683492973,0.4967366737132,1.46457209698506,0.33916846752425,0.734482822141661,1
"JN866570.1.1464",1136.29160280522,-3.09766512395973,1.76173037451074,-1.75830829097217,0.0786950677442157,0.33946891968093
"EU328097.1.1450",12.784102295805,1.03289486685105,1.60246443526949,0.644566484046397,0.519208160380306,1
"HK556770.9.1472",0.300503280390701,0,5.08865425287263,0,1,NA
"KF906841.1.1487",26.1060124788513,-5.30540126381552,2.38137388533758,-2.2278741261427,0.0258889100085522,0.149883163207408
"EF600592.1.1339",37.1006436219395,-0.0988913195081952,1.94175777214654,-0.0509287620354802,0.959382286452895,1
"FJ671786.1.1387",90.8921728076815,6.26148367066958,1.79890482208618,3.48071982118997,0.000500068291338606,0.00647147200555843
"AAAA02020712.626.2096",1.45600628836533,0,3.16660779622223,0,1,NA
"FLKC01000026.136.1601",0.725463737880414,0,5.08865411585359,0,1,NA
"KF906835.1.1540",5.43795630033109,5.18373954896736,4.24454848381239,1.22126995809726,0.221983824042257,0.651152550523953
"FM179752.1.1686",1.38041315577126,-2.44516022186105,4.71222451690633,-0.518897224249057,0.603832413544629,NA
"AB249372.1.1472",0.368198187265255,0,5.08865425929042,0,1,NA
"AB546058.1.1480",0.786477112784069,-0.799121821823446,4.80570870597412,-0.166285946717918,0.867931924972952,NA
"JF766389.1.1513",2.43195449869594,-3.78706407083241,2.97620134342668,-1.27244888159083,0.20321367566624,NA
"EF511052.1.1484",3.7686925931657,0,2.69713133721659,0,1,NA
"KF841934.1.1385",1.45917387897832,-0.589851621796217,4.31258689387953,-0.136774431753095,0.891209094188918,NA
"KJ890498.1.1488",9.27495639179541,-1.03735452058694,2.39747665461785,-0.432685973641855,0.665242921134295,1
"JF766379.1.1511",93.1979913250024,-23.7473591227665,2.46656434762696,-9.62770711642431,6.10770858572468e-22,6.71847944429714e-20
"GU563744.1.1502",24.2632508463971,1.91144332672614,2.27054303568245,0.841844130098871,0.399875206627753,0.945028436131402
"GQ491124.1.1360",0.733337407440666,0,3.80314123792217,0,1,NA
"JN178097.1.1437",0.995586858965785,0.442854317704589,3.59198962494445,0.123289420055448,0.901877918488508,NA
"HM445996.1.1494",2.2825530864281,-0.588659615851094,4.11638077173626,-0.14300417004494,0.886286887825322,NA
"D14153.1.1370",7.21582154627572,3.90789587973436,1.96590297793933,1.98783761131012,0.0468296525553698,0.228944968048475
"HQ682006.1.1451",5.69200449991866,0,3.00209566426447,0,1,1
