"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.7131795556364,-0.0101624812528477,3.81929834057006,-0.00266082414795878,0.9978769719985,NA
"FJ900888.1.1397",8.58848074136077,-0.829357832357907,2.12387445941415,-0.390492869614656,0.696172126885776,1
"GU361882.1.1515",3.51122072789395,0,2.67143342912876,0,1,1
"AY422712.1.1545",3.91206129313296,0,3.70266464381157,0,1,1
"DQ794506.1.1387",1.07385226413801,0.986258573232116,4.82161859676253,0.204549271876116,0.837924292428961,NA
"FJ557977.1.1384",453.90013243573,-1.16013273917853,1.52824257174554,-0.759128662312714,0.447775594882676,1
"HQ876461.1.1511",15.6199297615443,-1.11311386580646,1.44769716719651,-0.768885849215293,0.441961078680462,1
"AUIB01000007.114179.115679",1.35549230273112,1.92968881028677,2.94058077391145,0.656227105681565,0.511678011026675,NA
"KC283048.1.1543",1.74847345438351,0,2.64133660676193,0,1,NA
"KF842558.1.1416",21.3930416387996,0,2.00660174608106,0,1,1
"GQ448359.1.1396",26.2613420009953,0.729026354471556,1.99918476561479,0.36466181966296,0.715363862287833,1
"FJ470572.1.1360",1.35814460495647,0,3.05238245970367,0,1,NA
"GARB01003133.115.1632",6.46261509980015,-0.906396553114032,2.28872014895654,-0.396027689766821,0.692084601211627,1
"DQ796089.1.1390",0.495118790084853,0,5.07856113830984,0,1,NA
"GABT01019963.848.2718",1.24360863278497,-1.33036636079345,3.45485059555293,-0.385072038283187,0.700184043866585,NA
"HQ323458.1.1504",4.25115074945604,0,2.89133847610678,0,1,1
"EF648100.1.1506",1.35570710682927,0,3.52353428130051,0,1,NA
"FR873975.1.1545",3.45404169804979,-0.639566408429341,3.00559954732677,-0.212791623886882,0.831489497300865,1
"KF928780.1.1519",0.0152864680970514,0,5.07856167298272,0,1,NA
"GU553044.1.1341",4.73917347978194,0,3.46181114002906,0,1,1
"FJ957564.1.1515",2972.64201581457,0.132918637868008,1.03167073140471,0.128838236679477,0.897485649161218,1
