"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.7131795556364,1.14789425494849,4.0159170754516,0.285836144865966,0.775003622937774,1
"FJ900888.1.1397",8.58848074136077,1.46330466647604,2.26183667496806,0.646954169003694,0.517661605856766,1
"GU361882.1.1515",3.51122072789395,0,2.81542630834237,0,1,1
"AY422712.1.1545",3.91206129313296,0,3.89345367861084,0,1,1
"DQ794506.1.1387",1.07385226413801,2.15978019787839,5.06567433604604,0.426355911296933,0.669848522500495,1
"FJ557977.1.1384",453.90013243573,-0.373887641187048,1.60111293858579,-0.233517344202646,0.815359703071434,1
"HQ876461.1.1511",15.6199297615443,-0.743856029037982,1.52353931320377,-0.48824209693268,0.625378369796265,1
"AUIB01000007.114179.115679",1.35549230273112,0.154485491180843,3.07025595455155,0.0503168118448965,0.959869926824029,1
"KC283048.1.1543",1.74847345438351,0,2.78399704746683,0,1,1
"KF842558.1.1416",21.3930416387996,-0.787766613845071,2.10955976015507,-0.373427019572635,0.708830652834573,1
"GQ448359.1.1396",26.2613420009953,1.89456914519714,2.11789328797314,0.894553637785158,0.371025744799353,1
"FJ470572.1.1360",1.35814460495647,0,3.21342845698052,0,1,1
"GARB01003133.115.1632",6.46261509980015,0.179737989638769,2.41609337330153,0.0743919881677258,0.94069848365604,1
"DQ796089.1.1390",0.495118790084853,0,5.33383070676973,0,1,1
"GABT01019963.848.2718",1.24360863278497,0,3.6365739650837,0,1,1
"HQ323458.1.1504",4.25115074945604,0,3.04513522331673,0,1,1
"EF648100.1.1506",1.35570710682927,-3.68657912320257,3.67336672129359,-1.00359680993253,0.315572992830855,1
"FR873975.1.1545",3.45404169804979,1.33511071349454,3.17361445328003,0.420690897760016,0.673980808633737,1
"KF928780.1.1519",0.0152864680970514,0,5.33383114260731,0,1,1
"GU553044.1.1341",4.73917347978194,0,3.64150734766812,0,1,1
"FJ957564.1.1515",2972.64201581457,-0.127095534698003,1.08132894172255,-0.117536421891697,0.906434983558192,1
"JUYT01000096.171.1693",94.1281422964174,7.97478629165207,2.22866205707389,3.57828422947288,0.000345857223641312,0.0228265767603266
"FJ557934.1.1411",1.55400708740317,0.0350704237094408,1.61823067172584,0.0216720794644426,0.982709535900152,1
"JF697561.1.1506",1.38401977218588,0,4.39207179989791,0,1,1
"GAON01156409.139.1558",1.38813301153097,0,3.25382927693972,0,1,1
"HM066712.1.1464",8.89909994286541,1.18636383367683,2.5389591645821,0.467263849779995,0.640311116922701,1
"KF842545.1.1386",5.76071734470015,0,2.76005878777642,0,1,1
"FJ957846.1.1474",2.34264354292491,0.656393438015084,1.48811915836155,0.441089300091928,0.659148349393585,1
"HQ327111.1.1473",35.120019962658,0,2.9421682846078,0,1,1
