"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.7131795556364,0,3.63096686217244,0,1,1
"FJ900888.1.1397",8.58848074136077,1.73772758334045,2.03225575901701,0.855073272953094,0.392510584746938,1
"GU361882.1.1515",3.51122072789395,0,2.53947196804762,0,1,1
"AY422712.1.1545",3.91206129313296,0,3.51614946990152,0,1,1
"DQ794506.1.1387",1.07385226413801,0,4.58609124663654,0,1,1
"FJ557977.1.1384",453.90013243573,-0.300490166968634,1.45059663077952,-0.207149362264241,0.835893212541205,1
"HQ876461.1.1511",15.6199297615443,-1.73057437961152,1.34042089194675,-1.29106789517293,0.196680135438533,1
"AUIB01000007.114179.115679",1.35549230273112,0,2.81743185507891,0,1,1
"KC283048.1.1543",1.74847345438351,0,2.51099164298472,0,1,1
"KF842558.1.1416",21.3930416387996,0,1.91104058346037,0,1,1
"GQ448359.1.1396",26.2613420009953,0.178242165178275,1.91738010341557,0.0929613094768006,0.925934298638485,1
"FJ470572.1.1360",1.35814460495647,0,2.90011081444732,0,1,1
"GARB01003133.115.1632",6.46261509980015,0,2.17881809327384,0,1,1
"DQ796089.1.1390",0.495118790084853,0,4.82041567931055,0,1,1
"GABT01019963.848.2718",1.24360863278497,0.837957193764945,3.28110238341692,0.255388919894752,0.798422727764363,1
"HQ323458.1.1504",4.25115074945604,0,2.74762245763157,0,1,1
"EF648100.1.1506",1.35570710682927,0,3.34641389171939,0,1,1
"FR873975.1.1545",3.45404169804979,1.39723678512268,2.86183731048638,0.488230683135939,0.625386453451293,1
"KF928780.1.1519",0.0152864680970514,0,4.82041624256164,0,1,1
"GU553044.1.1341",4.73917347978194,0,3.28793369116264,0,1,1
"FJ957564.1.1515",2972.64201581457,-0.387458485489633,0.979251604192493,-0.39566796095181,0.692349994106018,1
"JUYT01000096.171.1693",94.1281422964174,-0.930888985004216,1.96826546924829,-0.472948898178728,0.636249637742106,1
"FJ557934.1.1411",1.55400708740317,-0.52440311563656,1.45503879352287,-0.360404903271961,0.718544360384647,1
"JF697561.1.1506",1.38401977218588,0,3.96772697374621,0,1,1
"GAON01156409.139.1558",1.38813301153097,0,2.93671581245937,0,1,1
"HM066712.1.1464",8.89909994286541,-0.45753764250607,2.28129629577988,-0.200560375849669,0.841042343939156,1
"KF842545.1.1386",5.76071734470015,0,2.48929934870744,0,1,1
"FJ957846.1.1474",2.34264354292491,0.269479884940603,1.30820863390809,0.205991519973057,0.836797535343175,1
"HQ327111.1.1473",35.120019962658,-20.020919053974,2.6060634731394,-7.68243723160577,1.56090029033194e-14,2.40378644711119e-12
"HQ728404.1.1491",3.92672395924897,0,3.52730282752972,0,1,1
"KC991107.1.1597",3.01764696794538,0.0593662853823518,2.09933270619834,0.0282786454986725,0.977439912211494,1
"GQ175334.1.1521",51.6414683492973,0.910072661680064,1.39105119906251,0.654233763856716,0.512961211889838,1
"JN866570.1.1464",1136.29160280522,4.10458632918845,1.6040090421628,2.55895460767101,0.0104987449057876,0.37310924203645
"EU328097.1.1450",12.784102295805,0.778646828312874,1.52667352794001,0.510028381355069,0.610031578422575,1
"HK556770.9.1472",0.300503280390701,0,4.82041577618349,0,1,1
"KF906841.1.1487",26.1060124788513,-6.2375294247516,2.26300479053066,-2.75630411868856,0.0058458615445443,0.270078803357947
"EF600592.1.1339",37.1006436219395,0,1.83164985789098,0,1,1
"FJ671786.1.1387",90.8921728076815,1.0876451246576,1.76787208559347,0.615228405675337,0.538403891050797,1
"AAAA02020712.626.2096",1.45600628836533,0,2.99288652230469,0,1,1
"FLKC01000026.136.1601",0.725463737880414,0,4.82041560237018,0,1,1
"KF906835.1.1540",5.43795630033109,0.257966424789376,4.05747469112612,0.0635780736608314,0.949306191096659,1
"FM179752.1.1686",1.38041315577126,-1.15442511219299,4.46154276833627,-0.258750206405278,0.795827979203355,1
"AB249372.1.1472",0.368198187265255,0,4.82041578432588,0,1,1
"AB546058.1.1480",0.786477112784069,0.374030036097194,4.55145320624829,0.0821781569859316,0.93450504288578,1
"JF766389.1.1513",2.43195449869594,-2.50066628826671,2.80676746908797,-0.890941738425976,0.372960427031647,1
"EF511052.1.1484",3.7686925931657,0,2.54575589775417,0,1,1
"KF841934.1.1385",1.45917387897832,0.576873266223872,4.08291147229005,0.141289682653911,0.887641099901492,1
"KJ890498.1.1488",9.27495639179541,0.0570314548536556,2.25946945759599,0.0252410824416876,0.979862668334617,1
"JF766379.1.1511",93.1979913250024,1.14414530442482,2.25259368055258,0.507923516923011,0.61150698163149,1
