"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,-1.56452775259187,2.46053660524431,-0.635848192324099,0.524875372888783,NA
"FJ900888.1.1397",2.99598699739057,-1.29742341818931,1.38876346555311,-0.934229226481398,0.350185662730904,0.46361413502787
"GU361882.1.1515",1.64166525903525,0,1.87391317524742,0,1,NA
"AY422712.1.1545",2.05746384974597,0,2.58803342030589,0,1,NA
"DQ794506.1.1387",0.280040035889852,-1.42026085847658,3.06511394619402,-0.46336315171582,0.643104086380367,NA
"FJ557977.1.1384",3195.10715245808,-4.48008028174541,1.18094798787976,-3.79363047968675,0.000148460560499643,0.0010392239234975
"HQ876461.1.1511",9.71166448932615,-1.96380795419807,0.91063913676728,-2.15651609392661,0.0310433884580364,0.0912139068273169
"AUIB01000007.114179.115679",1.07699060126775,0.65604521526442,2.27550574948083,0.288307430299441,0.773111419969598,NA
"KC283048.1.1543",0.516735080710269,0,1.82894961535854,0,1,NA
"KF842558.1.1416",8.875116638186,-1.52730505269434,1.38683747223164,-1.10128625976385,0.270772089352131,0.381324007489984
"GQ448359.1.1396",9.51426792995631,-1.30176047921189,1.46309866487911,-0.889728430802346,0.373611724081306,0.488569177644784
"FJ470572.1.1360",0.993479578505147,0,2.00346007878449,0,1,NA
"GARB01003133.115.1632",2.00702915208139,0,1.65140260000763,0,1,NA
"DQ796089.1.1390",0.469043446038282,0,3.28856734448747,0,1,NA
"GABT01019963.848.2718",0.80036824818406,-2.80403276973258,2.64554796100601,-1.05990623154921,0.289187260397934,NA
"HQ323458.1.1504",2.73108917820508,0,1.90347078669888,0,1,1
"EF648100.1.1506",0.752842561169435,0.155133396967102,2.31265859892075,0.0670801116254249,0.946517926851184,NA
"FR873975.1.1545",1.76196650787314,-1.9789415912489,1.99548277539128,-0.991710685581271,0.321338676973442,NA
"KF928780.1.1519",0.00499833259720206,0,3.63465680145454,0,1,NA
"GU553044.1.1341",0.600804363147779,0,2.40192541045882,0,1,NA
"FJ957564.1.1515",2511.00818989379,0.241173496033871,0.682719296993075,0.353254254121833,0.723897837387212,0.8323076584452
"JUYT01000096.171.1693",221.350408310792,-1.12843021705022,1.52634201454624,-0.739303646427954,0.459722635602876,0.577011170463081
"FJ557934.1.1411",5.10379577692654,-1.95463163327477,1.09118892337767,-1.79128617547216,0.073247383436137,0.17115370780263
"JF697561.1.1506",0.59581805089657,0,2.67060716427468,0,1,NA
"GAON01156409.139.1558",0.245173525801773,0,2.20163089147118,0,1,NA
"HM066712.1.1464",2.57901438277869,-2.10496840763354,1.73485552752912,-1.21333930937267,0.225000119663731,0.343269413333129
"KF842545.1.1386",3.83510529374154,0,1.75867453951542,0,1,1
"FJ957846.1.1474",5.50370997059425,-2.34178572040191,0.928779193310955,-2.52135893791268,0.0116902536699181,0.0409158878447133
"HQ327111.1.1473",12.4614502646701,-2.52387740817964,1.70796564078796,-1.47770970791618,0.139485494834418,0.2634726013539
"HQ728404.1.1491",1.26867128827622,0,2.57953826318238,0,1,NA
"KC991107.1.1597",0.852983736351313,0.939622138868054,1.27683557696041,0.735899089767597,0.461792111254157,NA
"GQ175334.1.1521",41.1294890124094,-1.71038698115507,1.01398473570098,-1.68679756305468,0.0916422842233737,0.20376250821214
"JN866570.1.1464",511.717478879698,-5.12307371768724,1.17938828203304,-4.34383976484492,1.40013657341669e-05,0.000128166347874297
"EU328097.1.1450",5.94471032313106,-0.141239015311679,0.982474707701985,-0.143758423707454,0.885691234838958,0.966613510557805
"HK556770.9.1472",0.178148908179139,0,3.63465666044886,0,1,NA
"KF906841.1.1487",9.62671276744308,-4.36927385430518,1.59078542252435,-2.74661421486486,0.00602139161309537,0.0242896814223169
"EF600592.1.1339",14.8532033150566,-1.15091037974485,1.42576136538698,-0.807225113322149,0.419536799603339,0.539728423273485
"FJ671786.1.1387",38.5946456550497,4.43491871799455,1.25987608382524,3.52012295092485,0.000431346795496965,0.00270159308758625
"AAAA02020712.626.2096",1.01729228494058,-2.11030910436221,2.19748179758508,-0.960330641501258,0.336888833218753,NA
"FLKC01000026.136.1601",0.689410415484647,0,2.86094858322219,0,1,NA
"KF906835.1.1540",17.1255086614742,-1.53953262426204,2.77296869205104,-0.555192934083694,0.578762701454099,0.695684459323613
"FM179752.1.1686",4.8753863320433,-1.76881129986191,2.56313178263699,-0.690097681221107,0.490132761282373,0.60441242064873
"AB249372.1.1472",0.164164050057026,0,3.63465666503457,0,1,NA
"AB546058.1.1480",0.482076586984108,-2.42331097530012,3.29170684310579,-0.736186753803895,0.461617052384922,NA
"JF766389.1.1513",1.46351775132024,-4.03578743457755,1.92459574360534,-2.09695332019041,0.0359977077689414,NA
"EF511052.1.1484",1.31164317023218,0,1.83689465424624,0,1,NA
"KF841934.1.1385",4.05712549169374,-3.48898871429852,2.92024166761658,-1.19476026692891,0.232180708313901,0.347540934457286
"KJ890498.1.1488",3.51809466733517,-2.40674816385887,1.43795011927681,-1.67373550138812,0.0941825933372028,0.205646396461048
"JF766379.1.1511",150.373430409797,-11.1772929333597,1.67494848258068,-6.67321595237261,2.50257710862024e-11,4.25438108465442e-10
"GU563744.1.1502",2.36219572368639,0.40694716684531,1.38609939684724,0.293591619598807,0.769069980307917,NA
"GQ491124.1.1360",1.41846177832961,0,2.0124647310449,0,1,NA
"JN178097.1.1437",0.215187543284348,0,3.14392940447049,0,1,NA
"HM445996.1.1494",0.570379703139915,-2.23665582039736,3.29890086359756,-0.678000313703946,0.497771494313303,NA
"D14153.1.1370",9.52004925583988,4.29884181014128,1.46957726122167,2.92522341191346,0.00344209008565935,0.0151706933404986
"HQ682006.1.1451",1.54573468076084,-1.89174740511596,2.21426751942742,-0.854344557971544,0.392914105395508,NA
"GQ258634.1.1318",639.895085429214,-7.59424327869871,1.24293575917449,-6.10992420375974,9.96784689157569e-10,1.48271722512188e-08
"JN245722.1.1456",0.154122491912331,0,3.63465666887414,0,1,NA
"JN178390.1.1481",0.389496767743383,0,2.99799790777186,0,1,NA
"JF830179.1.1509",0.460130606256679,-2.23657593942489,2.98809170069175,-0.748496419606908,0.45416078387969,NA
"AYSG01000002.292.2076",10.4587876149277,-2.06995905973588,1.3937683043501,-1.48515291478169,0.137503321619292,0.2634726013539
"HM445342.1.1490",0.095183908595235,0,3.63465669822464,0,1,NA
"KF842592.1.1369",0.283809179572367,0,3.6346566341869,0,1,NA
"GQ472403.1.1419",1.78611661983356,-2.42080879187286,2.53909631466978,-0.953413534526632,0.340380586551464,NA
"JF733429.1.1501",1.55733732465503,0.166436948328642,1.34344181679607,0.123888467850117,0.901403583924101,NA
"HM584364.1.1482",0.31987371150238,-1.13211062249328,2.74466655064403,-0.412476561944339,0.679990156411568,NA
"JQ455220.1.1409",2.44975011912225,0,1.60747016147005,0,1,NA
"FJ558013.1.1408",0.908370594833945,0,2.34864938964237,0,1,NA
"EU844911.1.1328",6.91419735176688,20.4949756980881,3.61122825386363,5.67534762616033,1.3840729620815e-08,1.93770214691409e-07
"JN178118.1.1477",0.779381310355382,-1.71652600468815,2.04812806886905,-0.838095054102745,0.401977320460895,NA
"JQ769625.1.1444",5.001418180858,-2.55535446819381,2.17916358166624,-1.17263086153446,0.240943867892915,0.355763246684029
"HM066409.1.1463",0.464096193604617,0,2.21484010252215,0,1,NA
"GQ175351.1.1519",8.88501686547264,2.66323126417326,1.9985340336905,1.33259239986788,0.182665600626549,0.303207297868262
"GU272313.1.1510",2.1534105641539,0,2.62438812955125,0,1,NA
"GDHX01215805.4.1493",0.138281133844564,0,3.63465667460525,0,1,NA
"JX548419.1.1509",7.45851236280289,-4.32169476903929,1.38508404254298,-3.12016790050139,0.00180747982322176,0.00843490584170156
"ACOR01000003.1451.2935",8.73036148387799,-2.01263185916966,1.09103659760005,-1.84469692730458,0.0650816381111384,0.159684844025268
