"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,0,3.81485873613644,0,1,NA
"FJ900888.1.1397",2.99598699739057,0,1.97515649113284,0,1,NA
"GU361882.1.1515",1.64166525903525,0,2.84669670969161,0,1,NA
"AY422712.1.1545",2.05746384974597,0,4.07850358336836,0,1,NA
"DQ794506.1.1387",0.280040035889852,0,5.11814269036672,0,1,NA
"FJ557977.1.1384",6156.09342978259,-4.87491488175514,1.76996531487842,-2.75424317119457,0.00588280411249823,0.0358083728586849
"HQ876461.1.1511",9.71166448932615,-1.97608778134819,1.3064137430194,-1.51260486343402,0.130380058081974,0.314710485025453
"AUIB01000007.114179.115679",1.07699060126775,0.67606372992346,3.54189588249739,0.190876229102129,0.848622564182172,NA
"KC283048.1.1543",0.516735080710269,0,2.81272600599745,0,1,NA
"KF842558.1.1416",8.875116638186,-0.481988609931572,2.03637755089829,-0.23668921792963,0.812897900167528,0.964455135791983
"GQ448359.1.1396",9.51426792995631,-1.93225185155973,2.10941824978833,-0.916011725864999,0.359660744781134,0.631971324686334
"FJ470572.1.1360",0.993479578505147,0,3.0826947107196,0,1,NA
"GARB01003133.115.1632",2.00702915208139,0,2.47238391990508,0,1,NA
"DQ796089.1.1390",0.469043446038282,0,5.14171690431241,0,1,NA
"GABT01019963.848.2718",0.80036824818406,0,4.20875212544501,0,1,NA
"HQ323458.1.1504",2.73108917820508,0,2.88082921576682,0,1,NA
"EF648100.1.1506",0.752842561169435,1.58004398354009,3.46939275111988,0.455423786491188,0.64880438590167,NA
"FR873975.1.1545",1.76196650787314,0,2.98574399219737,0,1,NA
"KF928780.1.1519",0.00499833259720206,0,5.14171709624692,0,1,NA
"GU553044.1.1341",0.600804363147779,0,3.79815888063992,0,1,NA
"FJ957564.1.1515",2511.00818989379,0.536911028246325,0.974235299139758,0.551110218158193,0.581558121184551,0.821960652327809
"JUYT01000096.171.1693",173.790836355656,-7.95562673523531,2.07405226071399,-3.83578894607825,0.000125161858129727,0.00159296910346925
"FJ557934.1.1411",5.10379577692654,-1.67409894310958,1.57678634151377,-1.06171578167172,0.288364732656017,NA
"JF697561.1.1506",0.59581805089657,0,4.27788241094823,0,1,NA
"GAON01156409.139.1558",0.245173525801773,0,3.49619855150878,0,1,NA
"HM066712.1.1464",2.57901438277869,-2.90148078323273,2.54581238926092,-1.13970722880922,0.254408294520411,NA
"KF842545.1.1386",3.83510529374154,0,2.64166291945238,0,1,NA
"FJ957846.1.1474",5.50370997059425,-2.08165783822264,1.34450529213182,-1.54827046825678,0.121557191466468,0.298561522900097
"HQ327111.1.1473",12.4614502646701,-2.32285109797982,2.54082240919098,-0.914212299756691,0.36060530240194,0.631971324686334
"HQ728404.1.1491",1.26867128827622,0,4.09886200885967,0,1,NA
"KC991107.1.1597",0.892071177005414,2.03506384020707,1.88156613578525,1.0815797550256,0.279439304274015,NA
"GQ175334.1.1521",41.1294890124094,-1.95093670260474,1.46268466770763,-1.33380539611611,0.182267642074141,0.398710467037183
"JN866570.1.1464",511.717478879698,-3.00656364794554,1.67148894990546,-1.79873378649354,0.0720608017040321,0.190442157255162
"EU328097.1.1450",5.94471032313106,-0.280457954296116,1.45056349931696,-0.19334414138242,0.84668945863041,0.979640695936011
"HK556770.9.1472",0.178148908179139,0,5.14171695722189,0,1,NA
"KF906841.1.1487",9.62671276744308,-4.25786456160994,2.22652442274872,-1.9123367873744,0.0558330102078723,0.178248811685961
"EF600592.1.1339",14.8532033150566,0,2.09318510850716,0,1,1
"FJ671786.1.1387",67.8019070281153,3.5376811596471,1.85134404107241,1.91087182131629,0.056021055101302,0.178248811685961
"AAAA02020712.626.2096",1.01729228494058,0,3.41139605331476,0,1,NA
"FLKC01000026.136.1601",0.689410415484647,0,4.65988344425371,0,1,NA
"KF906835.1.1540",4.54540282668204,4.78405282579534,4.10500675876896,1.16541898879358,0.243849434636557,NA
"FM179752.1.1686",4.8753863320433,-1.12589090691607,4.02755175706965,-0.279547222438487,0.77982490354036,NA
"AB249372.1.1472",0.516072768377831,0,5.14171689908427,0,1,NA
"AB546058.1.1480",0.482076586984108,-2.05155965257254,5.13883634735432,-0.39922650068994,0.689726318265083,NA
"JF766389.1.1513",1.46351775132024,-4.60148940911972,2.85143448808659,-1.6137454422835,0.10658265282861,NA
"EF511052.1.1484",1.31164317023218,0,2.79752444978018,0,1,NA
"KF841934.1.1385",1.21980729191376,-1.62164170549181,4.80808824955724,-0.337273698260663,0.735910585071908,NA
"KJ890498.1.1488",3.51809466733517,-1.99424276622209,2.14501719035748,-0.929709456496122,0.352521536936286,NA
"JF766379.1.1511",303.340224545893,-24.6491166101287,2.41605704694215,-10.2022080320188,1.9381527564959e-24,1.35670692954713e-22
"GU563744.1.1502",10.4397283977012,0.816006663642426,2.07105063820621,0.394006138038803,0.693576507545958,0.886864342486951
"GQ491124.1.1360",1.41846177832961,0,3.08515409814018,0,1,NA
"JN178097.1.1437",0.215187543284348,0,5.14171694703603,0,1,NA
"HM445996.1.1494",0.570379703139915,-1.62203127970264,5.14171689369546,-0.315464914392991,0.752408686297664,NA
"D14153.1.1370",4.27724638196038,1.67460855989226,2.08785894854714,0.802069776340764,0.422512596855033,NA
"HQ682006.1.1451",1.54573468076084,0,3.4243483714185,0,1,NA
"GQ258634.1.1318",639.895085429214,-5.81190086200643,1.74522070453353,-3.33018101774117,0.00086789541572289,0.00810035721341364
"JN245722.1.1456",0.154122491912331,0,5.14171696539032,0,1,NA
"JN178390.1.1481",0.389496767743383,0,4.93199181186525,0,1,NA
"JF830179.1.1509",3.92193032369158,0,4.06048887158544,0,1,NA
"AYSG01000002.292.2076",10.4587876149277,-1.96168724154792,2.01585655944623,-0.973128386717558,0.330489497285847,0.616913728266914
"HM445342.1.1490",0.095183908595235,0,5.14171699384651,0,1,NA
"KF842592.1.1369",0.283809179572367,0,5.1417169317619,0,1,NA
"GQ472403.1.1419",1.78611661983356,-2.0440141712534,4.05119567207044,-0.504545901187924,0.613877815082128,NA
"JF733429.1.1501",7.32700352037987,0.593030903483179,2.04087717525011,0.290576478915495,0.771375251319783,0.930970130903186
"HM584364.1.1482",0.31987371150238,0.249940433567834,4.43366289269592,0.0563733507975065,0.955044386168638,NA
"JQ455220.1.1409",2.44975011912225,0,2.40588320947881,0,1,NA
"FJ558013.1.1408",2.79835382644584,0,3.38033700730772,0,1,NA
"EU844911.1.1328",6.91419735176688,19.0991805371524,5.13014330590579,3.7229331420753,0.000196921680776694,0.00229741960906143
"JN178118.1.1477",0.779381310355382,-0.71226363530617,3.16086182467392,-0.225338428192649,0.821716006929539,NA
"JQ769625.1.1444",5.001418180858,-3.90902397313604,3.26421047262751,-1.1975404177873,0.231095983684315,NA
"HM066409.1.1463",0.464096193604617,0,3.473445988157,0,1,NA
"GQ175351.1.1519",8.88501686547264,2.48145152154911,2.97614000257436,0.833781851459493,0.404403924017499,0.65630024092814
"GU272313.1.1510",2.1534105641539,0,4.12953011977483,0,1,NA
"GDHX01215805.4.1493",0.138281133844564,0,5.14171697094667,0,1,NA
"JX548419.1.1509",2.62955261203319,0.581848118656386,1.69396717741463,0.343482522220068,0.731235487199723,NA
"ACOR01000003.1451.2935",8.73036148387799,-1.28103744323946,1.45176720096755,-0.882398667214477,0.377561256206446,0.636850311673524
"GU906249.1.1413",11.9163414790977,-2.25278645183348,1.94378571408356,-1.15896851978645,0.246469017091,0.472680306749862
"HK557047.45.1575",228.097240835082,-3.04634431369106,1.36736213421094,-2.22789869448081,0.025887271267552,0.102294342595105
"KF010693.1.1489",0.677465216394013,0,5.14171688419223,0,1,NA
"JAHK01000002.1485485.1487033",270.851002644171,-6.15492725566091,2.09593113329193,-2.93660758118221,0.00331823703114268,0.0273266579035279
"FJ557790.1.1378",282.769387361813,-1.00842088188464,1.102340542534,-0.914799776452513,0.36029675219462,0.631971324686334
"CBVZ010000002.74463.76000",1.36657965670659,0,5.14171707965675,0,1,NA
"LHTF01000009.1335.2930",3.3232031882422,-3.9093920916941,5.12660730100704,-0.76256905632818,0.445720444651412,NA
"JN030530.1.1460",107.096175524504,-0.118612907071926,2.33216272921631,-0.0508596186646823,0.959437383478029,1
"GU272317.1.1456",1.29566085848439,0,3.10928468855173,0,1,NA
"KF842051.1.1404",1.66939785238287,0,3.15872626728883,0,1,NA
"JX097321.1.1494",9.00899751125771,-6.0479668964745,2.87951755926921,-2.10034034243202,0.0356989128545889,0.131522310516906
"CZPX01000003.3659.5189",2.20373935876928,-1.81569285370607,2.07509054567424,-0.874994518909588,0.381576888028259,NA
"GBFX01069610.194.1692",2.22592659988004,-2.13450124019312,2.23375865892728,-0.955564842093626,0.339292131123339,NA
"FN668057.1.1443",1.01675339818353,0,3.77113321113571,0,1,NA
"AB636947.1.1425",0.402880005580139,0,4.92673913799754,0,1,NA
"FJ983016.1.1511",3.76246914215677,0,2.49337504701948,0,1,NA
"GU553025.1.1449",1.53916705670412,0,2.8394807273893,0,1,NA
"HK555681.1.1458",9.97350661540967,0,2.00064576930789,0,1,1
"FJ957654.1.1486",0.0654448025795165,0,5.14171700988535,0,1,NA
"CSCC01000023.50.1885",85.1729164992396,-0.0507190366731779,1.56526291918973,-0.0324028864744544,0.974150760624498,1
"KF842066.1.1423",1.67519429724396,-0.549561885444363,1.86666143199359,-0.294408978524527,0.768445406909624,NA
"KJ890494.1.1487",5.05378049039883,-2.00324917352297,2.30467737590936,-0.869210239343171,0.384732147871694,NA
"AY773136.1.1509",1.49921590287478,1.82230630901378,3.67541060522079,0.495810265776908,0.62002828131791,NA
"KF843576.1.1351",0.187994621289333,0,5.14171695440488,0,1,NA
"HQ327216.1.1492",0.649287393634443,-2.04571780374222,4.23770562384601,-0.482741838468144,0.629279052317494,NA
"FJ957443.1.1492",497.643350742978,-3.31367309638657,1.40587444285854,-2.35701922971794,0.0184222928496224,0.0831974515789399
"HM587324.1.1489",9.59821760657776,-1.21327436245448,1.94864495408725,-0.622624639706508,0.53353121551837,0.7937328466029
"CP012945.1523999.1525460",0.388260356045998,0,4.91588269388133,0,1,NA
"GQ340268.1.1348",2.7353737732149,0,2.54562866968372,0,1,NA
"JVEO01000014.1806.3342",0.611208410956814,0,4.20513289431058,0,1,NA
"KJ809335.1.1477",8.83630818884174,0,3.15505511907194,0,1,1
"AGEI01000004.3703.5220",41.2766345906462,4.8548199897749,2.44518459972559,1.98546154360687,0.0470931446176751,0.16052410689239
"DQ804527.1.1389",2.40306809293281,0,3.20264178991005,0,1,NA
"AJ879127.1.1445",0.880575837780898,0,3.80766279791992,0,1,NA
"GAYX01056574.118.1534",2.68160320696224,-3.50517043078146,3.23951545825359,-1.08200453924399,0.279250510959554,NA
"GALO01006443.2.1478",0.0498753228607363,0,5.14171702176174,0,1,NA
"GQ360006.1.1437",66.7775827779986,-1.07293757286467,0.872203008000112,-1.23014660924505,0.218642208914795,0.443621873160453
"JX843606.1.1504",5.33772696265031,0,2.16596639557826,0,1,1
"FJ557873.1.1382",1.06761039555343,-1.59632432022829,1.63190259323476,-0.978198286372015,0.327976263843574,NA
"EF510348.1.1506",75.9516592144719,-0.166969143099866,1.83563012033583,-0.0909601238561714,0.927524276210417,1
"JN685504.1.1473",3.77038794416639,-1.33976994982848,2.36745328820878,-0.565911883668951,0.571453682731016,NA
"GQ491298.1.1331",1.10148116851871,0,5.14171685752721,0,1,NA
"AYLG01000126.503.2011",1.69699391541376,-1.73849706935001,3.94207284039921,-0.441010894454694,0.659205109962832,NA
"AB627071.1.1445",0.679751828941944,0,3.74388708267822,0,1,NA
"JN626188.1.1506",7.05673810000256,-2.05032208002434,4.90318579961546,-0.418161204534639,0.675829258470995,0.884262581177003
"D14139.1.1375",4.54570397627597,-1.16617570065087,2.42353484502776,-0.481187923929981,0.630382942811195,NA
"KF712568.1.1452",2.38579417969184,0,3.08977975170805,0,1,NA
"JN695884.1.1564",18.2561157733024,7.71258358060846,3.72799293943827,2.06882998597379,0.0385620434980859,0.134967152243301
"JF766568.1.1454",1.493839064697,0,4.11030873772447,0,1,NA
"JX290307.1.1514",0.626828186849981,0,5.14171688844832,0,1,NA
"KF842633.1.1402",2.79650564716748,0,2.32716731665438,0,1,NA
"KU515298.1.1494",0.196261074614867,0,5.14171695195772,0,1,NA
"KF842917.1.1421",23.2879121801369,-6.98957166485543,2.88436312415122,-2.42326342558281,0.0153817682433965,0.0717815851358505
"HM587320.1.1480",0.770056097313961,-0.934840268998387,2.91033339268888,-0.321214150704116,0.748048109196616,NA
"JN579972.1.1541",0.287707236284631,0,5.14171693106733,0,1,NA
"KF842913.1.1420",3.76532717559566,-4.10566139129072,3.18033011382504,-1.29095447464501,0.196719464200389,NA
"FJ470464.1.1525",1.18153114164376,0,1.85636631161151,0,1,NA
"FN794244.1.1497",2.24393597636081,-3.17031395787815,2.83403660951075,-1.1186566705733,0.263286636868086,NA
"JQ795732.1.1518",908.820697796301,-3.55337839602523,1.3561193859309,-2.62025484842254,0.00878640781358514,0.0492038837560768
"HQ883945.1.1551",0.172612445332716,-0.723493966887906,2.10517514114698,-0.343674002579053,0.7310914645072,NA
"ADDS01000069.379.1898",0.344387086138895,0,5.14171692129654,0,1,NA
"GALZ01007484.194.1638",18.0445758555277,-1.93555367696437,1.55026200385154,-1.24853326221993,0.21183583524044,0.441862287290502
"KF010736.1.1445",0.483171359475712,-2.61926602399874,3.89357095371776,-0.672715626640307,0.501128224112212,NA
"DQ532350.1.1524",12.9975412587898,0.87088158781576,1.27419085045729,0.683478136342927,0.494304761064867,0.744114694076143
"JN178846.1.1525",0.121114938881851,0,5.14171697787642,0,1,NA
"ABXA01000039.540.2054",16.7036308438785,-5.33599586611576,1.61879325374956,-3.29628002449118,0.000979743069382124,0.00857275185709358
"FN811195.1.1455",5.30312385001642,0,3.04309931730104,0,1,NA
"GU305772.1.1500",7.0153427280268,0,2.5351866032128,0,1,1
"HQ681994.1.1453",1.56273774552881,0,2.83145131937287,0,1,NA
"JQ825174.1.1458",1.17996820199845,0,5.14171687145947,0,1,NA
"AGWQ01000001.1612.3142",0.438152329149909,-2.05159023995956,5.13883639018058,-0.399232449563834,0.689721935330481,NA
"JN082676.1.1481",1.31670912113554,0,2.93923189478922,0,1,NA
