"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,-1.45215366163844,3.80045184431162,-0.382100266264911,0.702386994325286,NA
"FJ900888.1.1397",2.99598699739057,-1.24958347479292,1.92465742666015,-0.649249813231085,0.516176918912952,NA
"GU361882.1.1515",1.64166525903525,0,2.84726211417685,0,1,NA
"AY422712.1.1545",2.05746384974597,0,4.07865817166032,0,1,NA
"DQ794506.1.1387",0.280040035889852,-0.850619257796091,5.10346554784277,-0.166674831018629,0.867625910421927,NA
"FJ557977.1.1384",6156.09342978259,-4.11455564066213,1.76999793643531,-2.32461041674921,0.0200928012928,0.0999197488732003
"HQ876461.1.1511",9.71166448932615,-1.68862938956544,1.31124626308335,-1.28780492048434,0.1978138790379,0.458818302768463
"AUIB01000007.114179.115679",1.07699060126775,1.20682964014335,3.52382326410345,0.342477346249769,0.731991689469157,NA
"KC283048.1.1543",0.516735080710269,0,2.81331657326515,0,1,NA
"KF842558.1.1416",8.875116638186,0,2.05205904594074,0,1,1
"GQ448359.1.1396",9.51426792995631,-0.981282068202316,2.0733036266979,-0.473293952495121,0.636003476064669,0.857440349437995
"FJ470572.1.1360",0.993479578505147,0,3.08311711659929,0,1,NA
"GARB01003133.115.1632",2.00702915208139,0,2.47332051240523,0,1,NA
"DQ796089.1.1390",0.469043446038282,0,5.14181680559462,0,1,NA
"GABT01019963.848.2718",0.80036824818406,-3.53741292757371,4.20370768556641,-0.841498313434008,0.400068829476335,NA
"HQ323458.1.1504",2.73108917820508,0,2.88137063467873,0,1,NA
"EF648100.1.1506",0.752842561169435,0,3.51416922194431,0,1,NA
"FR873975.1.1545",1.76196650787314,-1.80075184371514,2.96089590039917,-0.608178032693543,0.543069402471757,NA
"KF928780.1.1519",0.00499833259720206,0,5.14181689022179,0,1,NA
"GU553044.1.1341",0.600804363147779,0,3.79835548314813,0,1,NA
"FJ957564.1.1515",2511.00818989379,-0.0392124420124978,0.974253642475337,-0.0402486994176062,0.967894852540265,1
"JUYT01000096.171.1693",173.790836355656,-2.80235162837624,2.02275131416358,-1.38541579914139,0.165925362748098,0.432961493420818
"FJ557934.1.1411",5.10379577692654,-2.18968133926978,1.59077772852596,-1.37648478477177,0.168671594739092,0.433356251098898
"JF697561.1.1506",0.59581805089657,0,4.27801628738685,0,1,NA
"GAON01156409.139.1558",0.245173525801773,0,3.49646380673999,0,1,NA
"HM066712.1.1464",2.57901438277869,-1.45051173934587,2.5417076984907,-0.570683930417018,0.568213913669719,NA
"KF842545.1.1386",3.83510529374154,0,2.64240322493356,0,1,NA
"FJ957846.1.1474",5.50370997059425,-2.50560448660911,1.31458446546638,-1.90600494105199,0.0566495645964684,0.205662549730657
