"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,1.14610700020649,4.08970001622692,0.280242315000862,0.779291604078786,1
"FJ900888.1.1397",2.99598699739057,1.96919351707255,2.07954753466615,0.946933640249146,0.343672594671123,1
"GU361882.1.1515",1.64166525903525,0,3.0611359646232,0,1,1
"AY422712.1.1545",2.05746384974597,0,4.38705314225578,0,1,1
"DQ794506.1.1387",0.280040035889852,1.74534609766604,5.49231016102242,0.317779958978344,0.750651853731425,1
"FJ557977.1.1384",6156.09342978259,0.518544038966238,1.90473896764895,0.272238898753819,0.785438334041578,1
"HQ876461.1.1511",9.71166448932615,0.584489473749798,1.40375682818789,0.416375159866054,0.677135502234268,1
"AUIB01000007.114179.115679",1.07699060126775,1.51046171270631,3.77450636219745,0.400174636830375,0.689027894212457,1
"KC283048.1.1543",0.516735080710269,0,3.02457064664322,0,1,1
"KF842558.1.1416",8.875116638186,-1.21183707849506,2.19117008203186,-0.553054775817006,0.580225902784722,1
"GQ448359.1.1396",9.51426792995631,1.84217460105369,2.23476587921605,0.824325544875384,0.409754607719268,1
"FJ470572.1.1360",0.993479578505147,0,3.31516412657263,0,1,1
"GARB01003133.115.1632",2.00702915208139,0,2.6582574497758,0,1,1
"DQ796089.1.1390",0.469043446038282,0,5.53141640311851,0,1,1
"GABT01019963.848.2718",0.80036824818406,0,4.52724778563884,0,1,1
"HQ323458.1.1504",2.73108917820508,0,3.09787568600089,0,1,1
"EF648100.1.1506",0.752842561169435,-3.26265251612586,3.73797530423395,-0.872839505501898,0.38275056328998,1
"FR873975.1.1545",1.76196650787314,1.42058315726845,3.1904966657271,0.445254550029347,0.656135809107609,1
"KF928780.1.1519",0.00499833259720206,0,5.53141655464412,0,1,1
"GU553044.1.1341",0.600804363147779,0,4.08529596153472,0,1,1
"FJ957564.1.1515",2511.00818989379,-0.209973145538146,1.04789377500636,-0.200376364996416,0.841186242642519,1
"JUYT01000096.171.1693",173.790836355656,4.54784197050902,2.22582739135438,2.04321412710342,0.0410312458765668,1
"FJ557934.1.1411",5.10379577692654,-0.0111121435104716,1.70036819734288,-0.00653513958202478,0.994785750139911,1
"JF697561.1.1506",0.59581805089657,0,4.60165644629789,0,1,1
"GAON01156409.139.1558",0.245173525801773,0,3.76026565932849,0,1,1
"HM066712.1.1464",2.57901438277869,1.15409490844206,2.73532810123096,0.421921928825536,0.673082003357732,1
"KF842545.1.1386",3.83510529374154,0,2.84044726115322,0,1,1
"FJ957846.1.1474",5.50370997059425,0.652935660543269,1.44106331717508,0.453092971531063,0.650481796183159,1
"HQ327111.1.1473",12.4614502646701,0,2.74255063815257,0,1,1
"HQ728404.1.1491",1.26867128827622,0,4.40896629661104,0,1,1
"KC991107.1.1597",0.892071177005414,-1.59944818487776,1.99000328352299,-0.803741480288505,0.421546292748054,1
"GQ175334.1.1521",41.1294890124094,1.66171486419738,1.5504138944864,1.07178790780113,0.28381530561123,1
"JN866570.1.1464",511.717478879698,0.680093996498463,1.80651729789919,0.376466916364073,0.706569806411371,1
"EU328097.1.1450",5.94471032313106,1.67319182017317,1.47449322904814,1.13475720824659,0.256477060155794,1
"HK556770.9.1472",0.178148908179139,0,5.53141645230381,0,1,1
"KF906841.1.1487",9.62671276744308,-1.84829655803396,2.4512263927645,-0.754029315076623,0.450831619233955,1
"EF600592.1.1339",14.8532033150566,1.84129506244777,2.21162257602968,0.832553927783318,0.405096351985841,1
"FJ671786.1.1387",67.8019070281153,2.34108272514868,1.90009086790046,1.23208987775174,0.217915512142953,1
"AAAA02020712.626.2096",1.01729228494058,0.231544433695242,3.66462180240134,0.0631837188611158,0.949620209339636,1
"FLKC01000026.136.1601",0.689410415484647,0,5.01281777669409,0,1,1
"KF906835.1.1540",4.54540282668204,0.775285413620908,4.3720981657681,0.177325710500076,0.859252556740179,1
"FM179752.1.1686",4.8753863320433,-0.587782632584557,4.33688620956405,-0.135531024837205,0.892192036277348,1
"AB249372.1.1472",0.516072768377831,0,5.53141639825836,0,1,1
"AB546058.1.1480",0.482076586984108,0,5.53141637166597,0,1,1
"JF766389.1.1513",1.46351775132024,0,3.10181812609627,0,1,1
"EF511052.1.1484",1.31164317023218,0,3.00820812131075,0,1,1
"KF841934.1.1385",1.21980729191376,2.14831212358907,5.15502837363255,0.41674108615531,0.676867798680544,1
"KJ890498.1.1488",3.51809466733517,0,2.3123927354459,0,1,1
"JF766379.1.1511",303.340224545893,14.3472160354213,2.66050805634017,5.39266024819242,6.94221399690776e-08,1.60365143328569e-05
"GU563744.1.1502",10.4397283977012,-2.44662486970421,2.23635134111127,-1.09402526549717,0.273943897381377,1
"GQ491124.1.1360",1.41846177832961,0,3.31781144226407,0,1,1
"JN178097.1.1437",0.215187543284348,0,5.53141644283491,0,1,1
"HM445996.1.1494",0.570379703139915,-0.0566420908200824,5.53141639324886,-0.0102400699555388,0.991829749068619,1
"D14153.1.1370",4.27724638196038,1.06215292395104,2.17816778158838,0.487635953910075,0.625807724056053,1
"HQ682006.1.1451",1.54573468076084,0.648018863140559,3.6727911821861,0.176437709359465,0.859950081543469,1
"GQ258634.1.1318",639.895085429214,0.527811618623855,1.89272600325014,0.27886319399507,0.780349815396764,1
"JN245722.1.1456",0.154122491912331,0,5.53141645989728,0,1,1
"JN178390.1.1481",0.389496767743383,0,5.30569078196398,0,1,1
"JF830179.1.1509",3.92193032369158,0,4.36766265699111,0,1,1
"AYSG01000002.292.2076",10.4587876149277,1.05680632989173,2.14645945133596,0.492348611213676,0.622472920886645,1
"HM445342.1.1490",0.095183908595235,0,5.53141648635051,0,1,1
"KF842592.1.1369",0.283809179572367,0,5.53141642863589,0,1,1
"GQ472403.1.1419",1.78611661983356,0,4.36152323247865,0,1,1
"JF733429.1.1501",7.32700352037987,-0.599030617183109,2.17472660302815,-0.275450999840165,0.78296976662616,1
"HM584364.1.1482",0.31987371150238,-1.92980434152368,4.77104611399988,-0.404482433288786,0.685857993123862,1
"JQ455220.1.1409",2.44975011912225,0,2.58669036451758,0,1,1
"FJ558013.1.1408",2.79835382644584,0,3.63555085732471,0,1,1
"EU844911.1.1328",6.91419735176688,3.03905082570193,5.48125544195598,0.554444298005101,0.579274816742269,1
