"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,1.10839982513231,2.42869495044533,0.456376715786833,0.648119106385769,1
"FJ900888.1.1397",2.99598699739057,1.71030603965843,1.31418349452029,1.30142103198666,0.193114378421487,1
"GU361882.1.1515",1.64166525903525,0,1.8368042889669,0,1,1
"AY422712.1.1545",2.05746384974597,0,2.5768167058851,0,1,1
"DQ794506.1.1387",0.280040035889852,1.28470748219328,2.9342847453903,0.437826453009214,0.661512093456578,1
"FJ557977.1.1384",862.01543650325,-0.155852408490375,1.11628821773615,-0.139616638439888,0.888962893812585,1
"HQ876461.1.1511",9.71166448932615,0.512682876433459,0.92244178313927,0.555788870153613,0.578355194922086,1
"AUIB01000007.114179.115679",1.07699060126775,0.960084435752277,2.2813556064871,0.420839448712972,0.673872323299227,1
"KC283048.1.1543",0.516735080710269,0,1.75773188735413,0,1,1
"KF842558.1.1416",8.875116638186,0.451829312615456,1.3621276736901,0.331708489110583,0.740109389910383,1
"GQ448359.1.1396",9.51426792995631,1.2819142356633,1.42975976013816,0.896594149173303,0.369935521245404,1
"FJ470572.1.1360",0.993479578505147,0,1.9550544762927,0,1,1
"GARB01003133.115.1632",2.00702915208139,0,1.61530202792127,0,1,1
"DQ796089.1.1390",0.469043446038282,0,3.21569821431262,0,1,1
"GABT01019963.848.2718",0.80036824818406,1.5563622965708,2.63228374007748,0.59125932089866,0.554346681327525,1
"HQ323458.1.1504",2.73108917820508,0,1.87518604655622,0,1,1
"EF648100.1.1506",0.752842561169435,-0.742515082710946,2.23861077961704,-0.331685654992677,0.740126633716105,1
"FR873975.1.1545",1.76196650787314,1.67194283422964,1.95723704587076,0.854236249899821,0.392974101658839,1
"KF928780.1.1519",0.00499833259720206,0,3.58679735765075,0,1,1
"GU553044.1.1341",0.600804363147779,0,2.33588697052999,0,1,1
"FJ957564.1.1515",2511.00818989379,0.0989504077592826,0.672284770805425,0.147185258474227,0.882985795905081,1
"JUYT01000096.171.1693",395.440203291531,-0.123941393625603,1.53998448746804,-0.0804822351356155,0.935853724705234,1
"FJ557934.1.1411",5.10379577692654,0.702563906070548,1.09782263170958,0.639961215753478,0.522197814288627,1
"JF697561.1.1506",0.59581805089657,0,2.60770998691471,0,1,1
"GAON01156409.139.1558",0.245173525801773,0,2.08270773066604,0,1,1
"HM066712.1.1464",2.57901438277869,0.0615917342080855,1.71964426403307,0.0358165554913287,0.971428632163465,1
"KF842545.1.1386",3.83510529374154,0,1.73123710434009,0,1,1
"FJ957846.1.1474",5.50370997059425,1.35699682435102,0.937629441652433,1.44726345405655,0.147823150590072,1
"HQ327111.1.1473",12.4614502646701,0.501703843264283,1.75702868455121,0.285541065820692,0.775229647330291,1
"HQ728404.1.1491",1.26867128827622,0,2.55748266852364,0,1,1
"KC991107.1.1597",0.852983736351313,-0.662505129424708,1.34629291262005,-0.492095830865954,0.622651599405791,1
"GQ175334.1.1521",41.1294890124094,1.4746038398588,1.01291050117482,1.45580862094774,0.145445531919048,1
"JN866570.1.1464",511.717478879698,3.53686529312963,1.18113326374023,2.99446760302867,0.00274924250246438,0.317537509034636
"EU328097.1.1450",5.94471032313106,1.62661083719033,0.968886079929137,1.67884632763978,0.0931819970730972,1
"HK556770.9.1472",0.178148908179139,0,3.58679730196428,0,1,1
"KF906841.1.1487",9.62671276744308,-3.40621968387218,1.61561255429465,-2.1083146914263,0.0350037779911287,1
"EF600592.1.1339",14.8532033150566,1.36615028825086,1.39592229915349,0.978672157525755,0.327741993359565,1
"FJ671786.1.1387",38.5946456550497,2.20907799236493,1.31917167891421,1.6745947685772,0.0940137663960351,1
"AAAA02020712.626.2096",1.01729228494058,0.940226839499425,2.15305325501053,0.43669465086911,0.662332809074649,1
"FLKC01000026.136.1601",0.689410415484647,0,2.80977052643948,0,1,1
"KF906835.1.1540",17.1255086614742,-2.7337196310894,2.76020645273196,-0.99040404328584,0.321976669958945,1
"FM179752.1.1686",4.8753863320433,0.379344024361345,2.61608241773799,0.145004615217493,0.884707227889168,1
"AB249372.1.1472",0.164164050057026,0,3.58679730378168,0,1,1
"AB546058.1.1480",0.482076586984108,0.717795206123743,3.23041189129117,0.222199283026056,0.824158752229758,1
"JF766389.1.1513",1.46351775132024,-1.74425493955604,1.95209221594258,-0.893531015241419,0.371572870472434,1
"EF511052.1.1484",1.31164317023218,0,1.79426871621002,0,1,1
"KF841934.1.1385",1.56534492677186,-0.120680931679898,2.87727386798092,-0.0419428032287327,0.966544294360358,1
