"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EU778942.1.1391",1.07253116254043,0,3.5029867782465,0,1,1
"FJ900888.1.1397",2.99598699739057,1.61253993205851,1.81136154815744,0.890236371473616,0.373338978626603,1
"GU361882.1.1515",1.64166525903525,0,2.6153442312688,0,1,1
"AY422712.1.1545",2.05746384974597,0,3.744780974754,0,1,1
"DQ794506.1.1387",0.280040035889852,0,4.69842645894653,0,1,1
"FJ557977.1.1384",6156.09342978259,-0.241789123912429,1.62408079495096,-0.14887752177362,0.881650278551182,1
"HQ876461.1.1511",9.71166448932615,0.297034769801168,1.20646192675126,0.246203185707665,0.805524949612494,1
"AUIB01000007.114179.115679",1.07699060126775,0,3.27344561598216,0,1,1
"KC283048.1.1543",0.516735080710269,0,2.58421081472557,0,1,1
"KF842558.1.1416",8.875116638186,0,1.88588240412741,0,1,1
"GQ448359.1.1396",9.51426792995631,0.891204143025027,1.93753790445051,0.459967333272777,0.645539668219342,1
"FJ470572.1.1360",0.993479578505147,0,2.83165987005507,0,1,1
"GARB01003133.115.1632",2.00702915208139,0,2.27236913414329,0,1,1
"DQ796089.1.1390",0.469043446038282,0,4.72005308698517,0,1,1
"GABT01019963.848.2718",0.80036824818406,1.8570146065094,3.85859472889278,0.48126707700196,0.630326693022124,1
"HQ323458.1.1504",2.73108917820508,0,2.64662706059067,0,1,1
"EF648100.1.1506",0.752842561169435,0,3.22701083021657,0,1,1
"FR873975.1.1545",1.76196650787314,1.60432104707352,2.73903210008648,0.58572553677734,0.558059970357904,1
"KF928780.1.1519",0.00499833259720206,0,4.72005321068939,0,1,1
"GU553044.1.1341",0.600804363147779,0,3.48767177489163,0,1,1
"FJ957564.1.1515",2511.00818989379,0.366150299119946,0.894551913294973,0.409311403483869,0.682311147966484,1
"JUYT01000096.171.1693",173.790836355656,-0.605922243808139,1.85442780640841,-0.326743506387379,0.743861891358885,1
"FJ557934.1.1411",5.10379577692654,0.50447039488302,1.45793565861627,0.346016912270198,0.72933000476238,1
"JF697561.1.1506",0.59581805089657,0,3.92764937701341,0,1,1
"GAON01156409.139.1558",0.245173525801773,0,3.21077144561885,0,1,1
