OTU	Domain	Phylum	Class	Order	Family	Genus	Species
New.CleanUp.ReferenceOTU74525	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
KJ890498.1.1488	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
CP001628.1564668.1566028	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
HQ323458.1.1504	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
HQ327111.1.1473	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA
JF313072.1.1494	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA
New.ReferenceOTU57	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
New.ReferenceOTU341	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	uncultured bacterium
FJ557974.1.1421	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
KF842633.1.1402	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
KF842558.1.1416	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
AYSG01000002.292.2076	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
JQ455220.1.1409	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
New.CleanUp.ReferenceOTU60648	Unassigned	NA	NA	NA	NA	NA	NA
FJ983016.1.1511	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	uncultured bacterium
KF843576.1.1351	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured bacterium
New.ReferenceOTU1010	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Ambiguous_taxa
New.CleanUp.ReferenceOTU3964	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Ambiguous_taxa
New.CleanUp.ReferenceOTU37101	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
EF509307.1.1494	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
New.ReferenceOTU1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
JN187532.1.1511	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
HQ876461.1.1511	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
JN867400.1.1515	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
FJ937929.1.1393	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
HQ448938.1.1500	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
GARB01003133.115.1632	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
GU179616.1.1393	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Ambiguous_taxa
New.CleanUp.ReferenceOTU37130	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Ambiguous_taxa
FJ900888.1.1397	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Ambiguous_taxa
GCZP01012221.1.1468	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
FN794244.1.1497	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
JN626198.1.1514	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
GQ258634.1.1318	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
New.ReferenceOTU213	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Ambiguous_taxa
D14139.1.1375	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Ambiguous_taxa
New.ReferenceOTU473	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Ambiguous_taxa
HK555426.1.1506	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	NA
New.CleanUp.ReferenceOTU105829	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU909	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	anaerobic digester metagenome
New.ReferenceOTU882	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	NA
New.ReferenceOTU83	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU1077	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU332	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU567	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Ambiguous_taxa
New.CleanUp.ReferenceOTU71087	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Ambiguous_taxa
New.ReferenceOTU1116	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU119	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU953	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU336	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU191	Unassigned	NA	NA	NA	NA	NA	NA
New.CleanUp.ReferenceOTU79766	Unassigned	NA	NA	NA	NA	NA	NA
New.CleanUp.ReferenceOTU18377	Unassigned	NA	NA	NA	NA	NA	NA
New.CleanUp.ReferenceOTU13672	Unassigned	NA	NA	NA	NA	NA	NA
New.ReferenceOTU821	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Anaerococcus prevotii
