Sample	Reads
21A_S1	96754
21B_S2	61491
21C_S3	184186
22A_S4	65295
22B_S5	40641
22C_S6	114064
23A_S7	32569
23B_S8	37239
23C_S9	218155
24A_S10	40341
24B_S11	112600
24C_S12	133292
25A_S13	87315
25B_S14	87822
25C_S15	182569
26A_S16	85193
26B_S17	82809
26C_S18	141739
27A_S19	122344
27B_S20	102552
27C_S21	151667
28A_S22	65762
28B_S23	93578
28C_S24	172694
29A_S25	362047
29B_S26	201349
29C_S27	155276
30A_S28	27336
30B_S29	50358
30C_S30	161693
31A_S31	136629
31B_S32	44087
31C_S33	179161
32A_S34	49924
32B_S35	67035
32C_S36	163547
33A_S37	113597
33B_S38	85384
33C_S39	167144
34A_S40	81065
34B_S41	51779
34C_S42	175918
35A_S43	38773
35B_S44	27957
35C_S45	180654
36A_S46	132751
36B_S47	53582
36C_S48	145194
37A_S49	68416
37B_S50	60227
37C_S51	133306
38A_S52	30350
38B_S53	33025
38C_S54	145303
39A_S55	63340
39B_S56	119315
39C_S57	273642
40A_S58	65363
40B_S59	76168
40C_S60	150971
CL1_S64	1730
CL2_S65	8035
CL3_S66	7827
MC75_S67	82927
MC7-5_S68	70831
Mcplus_S69	323506
WC1_S61	32361
WC2_S62	48007
WC3_S63	31885
