Sample	Reads
21A_S1_L001_R1	186018
21A_S1_L001_R2	186018
21B_S2_L001_R1	124495
21B_S2_L001_R2	124495
21C_S3_L001_R1	343935
21C_S3_L001_R2	343935
22A_S4_L001_R1	125216
22A_S4_L001_R2	125216
22B_S5_L001_R1	84219
22B_S5_L001_R2	84219
22C_S6_L001_R1	210332
22C_S6_L001_R2	210332
23A_S7_L001_R1	75657
23A_S7_L001_R2	75657
23B_S8_L001_R1	79990
23B_S8_L001_R2	79990
23C_S9_L001_R1	420576
23C_S9_L001_R2	420576
24A_S10_L001_R1	86219
24A_S10_L001_R2	86219
24B_S11_L001_R1	204041
24B_S11_L001_R2	204041
24C_S12_L001_R1	233475
24C_S12_L001_R2	233475
25A_S13_L001_R1	177617
25A_S13_L001_R2	177617
25B_S14_L001_R1	167980
25B_S14_L001_R2	167980
25C_S15_L001_R1	364038
25C_S15_L001_R2	364038
26A_S16_L001_R1	168429
26A_S16_L001_R2	168429
26B_S17_L001_R1	161846
26B_S17_L001_R2	161846
26C_S18_L001_R1	268421
26C_S18_L001_R2	268421
27A_S19_L001_R1	216111
27A_S19_L001_R2	216111
27B_S20_L001_R1	191196
27B_S20_L001_R2	191196
27C_S21_L001_R1	289661
27C_S21_L001_R2	289661
28A_S22_L001_R1	132345
28A_S22_L001_R2	132345
28B_S23_L001_R1	186007
28B_S23_L001_R2	186007
28C_S24_L001_R1	321970
28C_S24_L001_R2	321970
29A_S25_L001_R1	656339
29A_S25_L001_R2	656339
29B_S26_L001_R1	363456
29B_S26_L001_R2	363456
29C_S27_L001_R1	300766
29C_S27_L001_R2	300766
30A_S28_L001_R1	57981
30A_S28_L001_R2	57981
30B_S29_L001_R1	108344
30B_S29_L001_R2	108344
30C_S30_L001_R1	300579
30C_S30_L001_R2	300579
31A_S31_L001_R1	237891
31A_S31_L001_R2	237891
31B_S32_L001_R1	93373
31B_S32_L001_R2	93373
31C_S33_L001_R1	324126
31C_S33_L001_R2	324126
32A_S34_L001_R1	110114
32A_S34_L001_R2	110114
32B_S35_L001_R1	139806
32B_S35_L001_R2	139806
32C_S36_L001_R1	298529
32C_S36_L001_R2	298529
33A_S37_L001_R1	219732
33A_S37_L001_R2	219732
33B_S38_L001_R1	162344
33B_S38_L001_R2	162344
33C_S39_L001_R1	305223
33C_S39_L001_R2	305223
34A_S40_L001_R1	151044
34A_S40_L001_R2	151044
34B_S41_L001_R1	106797
34B_S41_L001_R2	106797
34C_S42_L001_R1	298332
34C_S42_L001_R2	298332
35A_S43_L001_R1	85745
35A_S43_L001_R2	85745
35B_S44_L001_R1	62101
35B_S44_L001_R2	62101
35C_S45_L001_R1	321811
35C_S45_L001_R2	321811
36A_S46_L001_R1	309699
36A_S46_L001_R2	309699
36B_S47_L001_R1	107274
36B_S47_L001_R2	107274
36C_S48_L001_R1	266811
36C_S48_L001_R2	266811
37A_S49_L001_R1	140698
37A_S49_L001_R2	140698
37B_S50_L001_R1	132727
37B_S50_L001_R2	132727
37C_S51_L001_R1	249834
37C_S51_L001_R2	249834
38A_S52_L001_R1	63800
38A_S52_L001_R2	63800
38B_S53_L001_R1	69814
38B_S53_L001_R2	69814
38C_S54_L001_R1	277001
38C_S54_L001_R2	277001
39A_S55_L001_R1	128086
39A_S55_L001_R2	128086
39B_S56_L001_R1	259971
39B_S56_L001_R2	259971
39C_S57_L001_R1	522316
39C_S57_L001_R2	522316
40A_S58_L001_R1	128937
40A_S58_L001_R2	128937
40B_S59_L001_R1	160251
40B_S59_L001_R2	160251
40C_S60_L001_R1	290927
40C_S60_L001_R2	290927
CL1_S64_L001_R1	26215
CL1_S64_L001_R2	26215
CL2_S65_L001_R1	15990
CL2_S65_L001_R2	15990
CL3_S66_L001_R1	15476
CL3_S66_L001_R2	15476
MC75_S67_L001_R1	186257
MC75_S67_L001_R2	186257
MC7-5_S68_L001_R1	172250
MC7-5_S68_L001_R2	172250
Mcplus_S69_L001_R1	729495
Mcplus_S69_L001_R2	729495
WC1_S61_L001_R1	70259
WC1_S61_L001_R2	70259
WC2_S62_L001_R1	107562
WC2_S62_L001_R2	107562
WC3_S63_L001_R1	70011
WC3_S63_L001_R2	70011
