Sample	Reads
21A_S1_L001_R1	177157
21A_S1_L001_R2	177157
21B_S2_L001_R1	114597
21B_S2_L001_R2	114597
21C_S3_L001_R1	338234
21C_S3_L001_R2	338234
22A_S4_L001_R1	116116
22A_S4_L001_R2	116116
22B_S5_L001_R1	78497
22B_S5_L001_R2	78497
22C_S6_L001_R1	206729
22C_S6_L001_R2	206729
23A_S7_L001_R1	68110
23A_S7_L001_R2	68110
23B_S8_L001_R1	73559
23B_S8_L001_R2	73559
23C_S9_L001_R1	413546
23C_S9_L001_R2	413546
24A_S10_L001_R1	78049
24A_S10_L001_R2	78049
24B_S11_L001_R1	189991
24B_S11_L001_R2	189991
24C_S12_L001_R1	228081
24C_S12_L001_R2	228081
25A_S13_L001_R1	173318
25A_S13_L001_R2	173318
25B_S14_L001_R1	163090
25B_S14_L001_R2	163090
25C_S15_L001_R1	358444
25C_S15_L001_R2	358444
26A_S16_L001_R1	163007
26A_S16_L001_R2	163007
26B_S17_L001_R1	154801
26B_S17_L001_R2	154801
26C_S18_L001_R1	264547
26C_S18_L001_R2	264547
27A_S19_L001_R1	211739
27A_S19_L001_R2	211739
27B_S20_L001_R1	186764
27B_S20_L001_R2	186764
27C_S21_L001_R1	285009
27C_S21_L001_R2	285009
28A_S22_L001_R1	124512
28A_S22_L001_R2	124512
28B_S23_L001_R1	178510
28B_S23_L001_R2	178510
28C_S24_L001_R1	317549
28C_S24_L001_R2	317549
29A_S25_L001_R1	636961
29A_S25_L001_R2	636961
29B_S26_L001_R1	352838
29B_S26_L001_R2	352838
29C_S27_L001_R1	294362
29C_S27_L001_R2	294362
30A_S28_L001_R1	53687
30A_S28_L001_R2	53687
30B_S29_L001_R1	100276
30B_S29_L001_R2	100276
30C_S30_L001_R1	295307
30C_S30_L001_R2	295307
31A_S31_L001_R1	232846
31A_S31_L001_R2	232846
31B_S32_L001_R1	85348
31B_S32_L001_R2	85348
31C_S33_L001_R1	318186
31C_S33_L001_R2	318186
32A_S34_L001_R1	100167
32A_S34_L001_R2	100167
32B_S35_L001_R1	133559
32B_S35_L001_R2	133559
32C_S36_L001_R1	293873
32C_S36_L001_R2	293873
33A_S37_L001_R1	212018
33A_S37_L001_R2	212018
33B_S38_L001_R1	157711
33B_S38_L001_R2	157711
33C_S39_L001_R1	300316
33C_S39_L001_R2	300316
34A_S40_L001_R1	145506
34A_S40_L001_R2	145506
34B_S41_L001_R1	99706
34B_S41_L001_R2	99706
34C_S42_L001_R1	294163
34C_S42_L001_R2	294163
35A_S43_L001_R1	77079
35A_S43_L001_R2	77079
35B_S44_L001_R1	55934
35B_S44_L001_R2	55934
35C_S45_L001_R1	316567
35C_S45_L001_R2	316567
36A_S46_L001_R1	304113
36A_S46_L001_R2	304113
36B_S47_L001_R1	101349
36B_S47_L001_R2	101349
36C_S48_L001_R1	262660
36C_S48_L001_R2	262660
37A_S49_L001_R1	134505
37A_S49_L001_R2	134505
37B_S50_L001_R1	126851
37B_S50_L001_R2	126851
37C_S51_L001_R1	246006
37C_S51_L001_R2	246006
38A_S52_L001_R1	57859
38A_S52_L001_R2	57859
38B_S53_L001_R1	63780
38B_S53_L001_R2	63780
38C_S54_L001_R1	272192
38C_S54_L001_R2	272192
39A_S55_L001_R1	119028
39A_S55_L001_R2	119028
39B_S56_L001_R1	238302
39B_S56_L001_R2	238302
39C_S57_L001_R1	514350
39C_S57_L001_R2	514350
40A_S58_L001_R1	124158
40A_S58_L001_R2	124158
40B_S59_L001_R1	150815
40B_S59_L001_R2	150815
40C_S60_L001_R1	286805
40C_S60_L001_R2	286805
CL1_S64_L001_R1	24958
CL1_S64_L001_R2	24958
CL2_S65_L001_R1	15648
CL2_S65_L001_R2	15648
CL3_S66_L001_R1	15179
CL3_S66_L001_R2	15179
MC75_S67_L001_R1	183633
MC75_S67_L001_R2	183633
MC7-5_S68_L001_R1	169373
MC7-5_S68_L001_R2	169373
Mcplus_S69_L001_R1	718635
Mcplus_S69_L001_R2	718635
WC1_S61_L001_R1	69155
WC1_S61_L001_R2	69155
WC2_S62_L001_R1	105890
WC2_S62_L001_R2	105890
WC3_S63_L001_R1	68762
WC3_S63_L001_R2	68762
